,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
3019,Na3Se100Sn97,SeSn,ZT,,[0.8],[830.0],0.8,830.0,JMC_data
3020,PbTe,PbTe,ZT,,"[1.4, 1.7]",[700.0],1.55,700.0,JMC_data
3021,PbTe,PbTe,ZT,,[1.4],[750.0],1.4,750.0,JMC_data
3022,PbTe,PbTe,ZT,,[1.4],[750.0],1.4,750.0,JMC_data
3023,Na2Pb98S5Se10Te85,Pb5SeTe4,ZT,,[1.6],[750.0],1.6,750.0,JMC_data
3024,NaPb49Se5Te45,PbTe,ZT,,[1.4],[750.0],1.4,750.0,JMC_data
3025,GeSi,GeSi,ZT,,[1.4],[1200.0],1.4,1200.0,JMC_data
3026,Bi2Te3,Bi2Te3,ZT,,[0.1],[295],0.1,295.0,JMC_data
3027,In2O3,In2O3,ZT,,[0.45],[1273.0],0.45,1273.0,JMC_data
3028,single,None,ZT,,[1.0],[295],1.0,295.0,JMC_data
3029,BiBrO,BiBrO,ZT,,[1.5],[900.0],1.5,900.0,JMC_data
3030,AC2L,C,ZT,,[0.39],[823.0],0.39,823.0,JMC_data
3031,Ca3Co4O9,Ca3Co4O9,ZT,,[1.0],[800.0],1.0,800.0,JMC_data
3032,Co100Na77O200,Co4Na3O8,ZT,,[0.35],[953.0],0.35000000000000003,953.0,JMC_data
3033,In2O8Zn5,In2O7Zn4,ZT,,[0.19],[973.0],0.19,973.0,JMC_data
3034,Sb3Zn4,Sb10Zn13,ZT,,[1.2],[575.0],1.2,575.0,JMC_data
3035,InSb,InSb,ZT,,[1.83],[773.0],1.83,773.0,JMC_data
3036,Na19Pb400Sb20Te440,AgPb14SbTe16,ZT,,[1.087],[300.0],1.087,300.0,JMC_data
3037,AgPb18SbTe20,AgPb14SbTe16,ZT,,[1.078],[300.0],1.078,300.0,JMC_data
3038,PbTe,PbTe,ZT,,[1.5],[650.0],1.5,650.0,JMC_data
3039,PbTe,PbTe,ZT,,[1.4],[773.0],1.4,773.0,JMC_data
3040,BiCuOSe,BiCuOSe,ZT,,[1.1],[923.0],1.1,923.0,JMC_data
3041,GeIn9O15,In15O24Sn,ZT,,[2.0],[1118.0],2.0,1118.0,JMC_data
3042,Ca9Mn10O30Yb,CaMnO3,ZT,,[1.6],[1118.0],1.6,1118.0,JMC_data
3043,BaBi7Cu8O8Se8,BiCuOSe,ZT,,[1.1],[923.0],1.1,923.0,JMC_data
3044,Bi37Cu40O40Se40Sr3,BiCuOSe,ZT,,[0.76],[873.0],0.76,873.0,JMC_data
3045,Bi40Cu39O40Se40,BiCuOSe,ZT,,[0.81],[923.0],0.81,923.0,JMC_data
3046,Na,Na,ZT,,[1.8],[800.0],1.8,800.0,JMC_data
3047,Bi2Te3,Bi2Te3,ZT,,"[0.8, 1.1]",[295],0.95,295.0,JMC_data
3048,Co10Fe30GaLa8Sb120Ti,Fe4LaSb12,ZT,,[1.2],[700.0],1.2,700.0,JMC_data
3049,Co10Fe30GaLa8Sb120SiTi,Fe4LaSb12,ZT,,[1.2],[700.0],1.2,700.0,JMC_data
3050,SeSn,SeSn,ZT,,[2.6],[930.0],2.6,930.0,JMC_data
3051,NaS5Se45Sn49,SeSn,ZT,,[1.2],[793.0],1.2,793.0,JMC_data
3052,NaS5Se45Sn49,SeSn,ZT,,[1.2],[793.0],1.2,793.0,JMC_data
3053,SeSn,SeSn,ZT,,[0.8],[773.0],0.8,773.0,JMC_data
3054,SSn,SSn,ZT,,[0.6],[793.0],0.6000000000000001,793.0,JMC_data
3055,NaS5Se45Sn49,SeSn,ZT,,[1.2],[793.0],1.2,793.0,JMC_data
3056,NaS5Se45Sn49,SeSn,ZT,,[1.2],[793.0],1.2,793.0,JMC_data
3057,SeSn,SeSn,ZT,,[1.2],[793.0],1.2,793.0,JMC_data
3058,Cu2Se,Cu2Se,ZT,,[2.3],[400.0],2.3,400.0,JMC_data
3059,AlCu97Se50,Cu2Se,ZT,,[2.62],[1029.0],2.62,1029.0,JMC_data
3060,PbTe,PbTe,ZT,,[1.6],[295],1.6,295.0,JMC_data
3061,Bi20Se3Te27,Bi2Te3,ZT,,[1.54],[295],1.54,295.0,JMC_data
3062,In4Se3,In4Se3,ZT,,"[1.6, 1.7]",[295],1.65,295.0,JMC_data
3063,Cu97InSe50,Cu2Se,ZT,,[0.8],[973.0],0.8,973.0,JMC_data
3064,AlCu97Se50,Cu2Se,ZT,,[1.0],[973.0],1.0,973.0,JMC_data
3065,AlCu97Se50,Cu2Se,ZT,,[0.5],[973.0],0.5,973.0,JMC_data
3066,Cu97InSe50,Cu2Se,ZT,,[0.8],[973.0],0.8,973.0,JMC_data
3067,BiTe3,BiTe3,ZT,,[2.5],[295],2.5,295.0,JMC_data
3068,BiSbTe,None,ZT,,[1.4],[373.0],1.4,373.0,JMC_data
3069,SnTe,SnTe,ZT,,[0.58],[900.0],0.58,900.0,JMC_data
3070,AgSn10Te10,SnTe,ZT,,[1.35],[900.0],1.35,900.0,JMC_data
3071,Ag7Sn96Te100,SnTe,ZT,,[0.62],[800.0],0.62,800.0,JMC_data
3072,Ag15In15Sn97Te1000,Te,ZT,,[0.66],[800.0],0.66,800.0,JMC_data
3073,Ag11Gd6Sn94Te100,SnTe,ZT,,[0.67],[800.0],0.67,800.0,JMC_data
3074,AgSn10Te10,SnTe,ZT,,[1.35],[900.0],1.35,900.0,JMC_data
3075,AsSe2Te47,Te,ZT,,[0.64],[600.0],0.64,600.0,JMC_data
3076,CuTe2Y,CuTe2Y,ZT,,[0.73],[780.0],0.73,780.0,JMC_data
3077,CuTe2Y,CuTe2Y,ZT,,[0.81],[745.0],0.81,745.0,JMC_data
