,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1502,OZn,OZn,Seebeck,,[5.9999999999999995e-05],[295],6.000000000000002e-05,295.0,JMC_data
1503,O2Ti,O2Ti,Seebeck,,[0.00030199999999999997],"[745.0, 1032.0]",0.000302,888.5,JMC_data
1504,O2Ti,O2Ti,Seebeck,,[8.999999999999999e-05],[313.0],9e-05,313.0,JMC_data
1505,O2Ti,O2Ti,Seebeck,,[0.000155],[343.0],0.000155,343.0,JMC_data
1506,O2Ti,O2Ti,Seebeck,,[1.7e-05],[473.0],1.7e-05,473.0,JMC_data
1507,DEOPT,None,Seebeck,,[1.4999999999999999e-05],[295],1.4999999999999999e-05,295.0,JMC_data
1508,Bi2Te3,Bi2Te3,Seebeck,,[0.0001428],[300.0],0.00014280000000000006,300.0,JMC_data
1509,NSbSr3,NSbSr3,Seebeck,,[0.000257],[600.0],0.000257,600.0,JMC_data
1510,NSbSr3,NSbSr3,Seebeck,,[0.000257],[600.0],0.000257,600.0,JMC_data
1511,Ca3OSn,Ca3OSn,Seebeck,,[9.999999999999999e-05],[295],0.0001,295.0,JMC_data
1512,BiNSr3,BiNSr3,Seebeck,,[0.00014199999999999998],[600.0],0.00014199999999999998,600.0,JMC_data
1513,NSbSr3,NSbSr3,Seebeck,,[0.000257],[600.0],0.000257,600.0,JMC_data
1514,O2Ti,O2Ti,Seebeck,,[0.000155],[300.0],0.000155,300.0,JMC_data
1515,O2Ti,O2Ti,Seebeck,,[0.000145],[900.0],0.000145,900.0,JMC_data
1516,Fe47Si100Zr3,FeSi2,Seebeck,,[1.9999999999999998e-05],[500.0],2e-05,500.0,JMC_data
1517,Ca3Co4O9,Ca3Co4O9,Seebeck,,[0.000149],[300.0],0.000149,300.0,JMC_data
1518,Bi2Te3,Bi2Te3,Seebeck,,[0.00031299999999999996],[300.0],0.00031299999999999996,300.0,JMC_data
