,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1811,Al2Sb6Yb5,Conductivity,,[110000.0],[295],110000.0,295.0,JMC_data
1812,BiCuOSe,Conductivity,,[800.0],[295],800.0,295.0,JMC_data
1813,Bi23Cu25O25Sb2Se23Te2,Conductivity,,[44700.0],[295],44700.0,295.0,JMC_data
1814,CoLaO3,Conductivity,,[19050.0],[850.0],19050.0,850.0,JMC_data
1815,Cr93Cu100Mg7O200,Conductivity,,"[30.0, 60.0]",[1073.0],45.0,1073.0,JMC_data
1816,ACS,Conductivity,,[50.0],[295],50.0,295.0,JMC_data
1817,ACS,Conductivity,,[0.1],[295],0.1,295.0,JMC_data
1818,ACS,Conductivity,,[10.0],[295],10.0,295.0,JMC_data
1819,Li6Mn9O20,Conductivity,,[0.030000000000000002],[295],0.03,295.0,JMC_data
1820,AINP,Conductivity,,[258.0],[373.0],258.0,373.0,JMC_data
1821,H,Conductivity,,[100400.0],[4.2],100400.0,4.2,JMC_data
1822,FeLiO4P,Conductivity,,"[1000.0, 1000.0]",[295],1000.0,295.0,JMC_data
1823,S2Ti,Conductivity,,"[12000.0, 137000.0]",[295],74500.0,295.0,JMC_data
1824,O2Ti,Conductivity,,[1e-06],[295],1e-06,295.0,JMC_data
1825,Cu50Fe50O103,Conductivity,,[2300.0],[873.0],2300.0,873.0,JMC_data
1826,Cu50Fe50O103,Conductivity,,[2300.0],[873.0],2300.0,873.0,JMC_data
1827,BCST,Conductivity,,[42200.0],[300.0],42200.0,300.0,JMC_data
1828,BCST,Conductivity,,[100000.0],[300.0],100000.0,300.0,JMC_data
1829,IrO3Sr,Conductivity,,[24500.0],[295],24500.0,295.0,JMC_data
1830,IrO4Sr2,Conductivity,,[220.00000000000003],[295],220.0,295.0,JMC_data
1831,IrO6Sr4,Conductivity,,[0.02],[295],0.02,295.0,JMC_data
1832,IrO3Sr,Conductivity,,[16000000.0],"[10.0, 120.0]",16000000.0,65.0,JMC_data
1833,IrO4Sr2,Conductivity,,[48000.0],[295],48000.0,295.0,JMC_data
1834,Bi559K33Se1100Sn241,Conductivity,,[45000.0],[295],45000.0,295.0,JMC_data
1835,Bi559K33Se1100Sn241,Conductivity,,[45000.0],[295],45000.0,295.0,JMC_data
1836,BaErMn2O5,Conductivity,,[0.01],[295],0.01,295.0,JMC_data
1837,BaErMn2O6,Conductivity,,[20.0],[295],20.0,295.0,JMC_data
1838,BaErMn2O5,Conductivity,,[0.01],[295],0.01,295.0,JMC_data
1839,BaErMn2O6,Conductivity,,[4000.0],[773.0],4000.0,773.0,JMC_data
1840,AgBi3S5,Conductivity,,[40000.0],[295],40000.0,295.0,JMC_data
1841,Bi2S3,Conductivity,,[41.3],[295],41.3,295.0,JMC_data
1842,Pristine,Conductivity,,[17800.0],[295],17800.0,295.0,JMC_data
1843,Bi40Cu39O40Se40,Conductivity,,[5300.0],[923.0],5300.0,923.0,JMC_data
1844,BiCuOSe,Conductivity,,[470.0],[923.0],470.0,923.0,JMC_data
1845,Bi20Cu20O20Se17Te3,Conductivity,,[4000.0],[923.0],4000.0,923.0,JMC_data
1846,BiCuOSe,Conductivity,,[1500.0],[550.0],1500.0,550.0,JMC_data
1847,Mg2Nb83O250,Conductivity,,[0.00022799999999999999],[298.0],0.00022799999999999999,298.0,JMC_data
1848,Cu,Conductivity,,[190500.0],[300.0],190500.0,300.0,JMC_data
1849,BST,Conductivity,,[180000.0],[300.0],180000.0,300.0,JMC_data
1850,Bi2S3,Conductivity,,[82900.0],[295],82900.0,295.0,JMC_data
1851,Bi2S3,Conductivity,,[20700.0],[408.0],20700.0,408.0,JMC_data
1852,O8Rh4Zn,Conductivity,,[5000.0],[873.0],5000.0,873.0,JMC_data
