,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2664,Mg200Pb5Sb2Sn93,ThermCond,total,[5.8],[295],5.8,295.0,JMC_data
2665,Mg200Pb5Sb2Sn93,ThermCond,lattice,[3.9],[295],3.9,295.0,JMC_data
2666,Mg200Pb5Sb2Sn93,ThermCond,total,[5.8],[295],5.8,295.0,JMC_data
2667,Mg200Pb5Sb2Sn93,ThermCond,lattice,[3.9],[295],3.9,295.0,JMC_data
2668,Se8TlV5,ThermCond,total,[3.0],[674.0],3.0,674.0,JMC_data
2669,CoSb3,ThermCond,total,[11.5],[300.0],11.5,300.0,JMC_data
2670,CuGaTe2,ThermCond,total,[0.54],[859.0],0.54,859.0,JMC_data
2671,O3SrTi,ThermCond,total,[2.5],[300.0],2.5,300.0,JMC_data
2672,CeSe2,ThermCond,total,[0.71],[300.0],0.71,300.0,JMC_data
2673,Cu41Se20,ThermCond,total,[0.47],[843.0],0.47,843.0,JMC_data
2674,Cu41Se20,ThermCond,total,[0.47],[843.0],0.47,843.0,JMC_data
2675,Cu19Se10,ThermCond,total,[1.45],[843.0],1.45,843.0,JMC_data
2676,Cu2Se,ThermCond,lattice,"[0.4, 0.6]",[1000.0],0.5,1000.0,JMC_data
2677,Bi2Te3,ThermCond,lattice,[1.5],[300.0],1.5,300.0,JMC_data
2678,Ba3Co40Sb120,ThermCond,lattice,[0.5],[813.0],0.5,813.0,JMC_data
2679,O2Th,ThermCond,total,[140.0],[40.0],140.0,40.0,JMC_data
2680,Pb99SbSe100,ThermCond,total,[1.5],[873.0],1.5,873.0,JMC_data
2681,Pb393Sb7Se400,ThermCond,lattice,[0.58],[623.0],0.58,623.0,JMC_data
2682,Pb99SbSe100,ThermCond,total,[4.6],[300.0],4.6,300.0,JMC_data
2683,Bi2Te3,ThermCond,total,[0.5],[300.0],0.5,300.0,JMC_data
2684,BiCuOSe,ThermCond,total,[0.42],[680.0],0.42,680.0,JMC_data
2685,BiCuOSe,ThermCond,total,[0.35],[680.0],0.35000000000000003,680.0,JMC_data
2686,RS2,ThermCond,total,[0.84],[315.0],0.84,315.0,JMC_data
2687,Bi199CsCu200O200Se200,ThermCond,total,[0.35],[680.0],0.35000000000000003,680.0,JMC_data
2688,BST,ThermCond,lattice,[1.2],[295],1.2,295.0,JMC_data
2689,BST,ThermCond,lattice,[1.2],[295],1.2,295.0,JMC_data
2690,BST,ThermCond,lattice,[1.2],[295],1.2,295.0,JMC_data
2691,SnTe,ThermCond,total,"[2.3, 3.0]",[773.0],2.65,773.0,JMC_data
2692,Cu4S16Sn7,ThermCond,total,[1.0],[300.0],1.0,300.0,JMC_data
2693,Cu4S16Sn7,ThermCond,total,[0.8],[295],0.8,295.0,JMC_data
2694,BiSb3Te6,ThermCond,lattice,[0.33],[320.0],0.33,320.0,JMC_data
2695,GOR,ThermCond,lattice,[0.63],[347.0],0.63,347.0,JMC_data
2696,BST,ThermCond,lattice,[0.71],[347.0],0.71,347.0,JMC_data
2697,BiNa2S4Sb,ThermCond,total,[0.8],[295],0.8,295.0,JMC_data
2698,Bi2Te3,ThermCond,total,[1.5],[295],1.5,295.0,JMC_data
2699,BiNa2SbSe4,ThermCond,total,[0.4],[295],0.4,295.0,JMC_data
2700,BT10,ThermCond,total,[1.3],[300.0],1.3,300.0,JMC_data
2701,Sb2Te3,ThermCond,total,[0.61],[295],0.61,295.0,JMC_data
2702,AlInN,ThermCond,total,[2.2],[773.0],2.2,773.0,JMC_data
2703,NiSnTi,ThermCond,lattice,[7.5],[300.0],7.5,300.0,JMC_data
2704,Ti,ThermCond,total,[6.6],[700.0],6.6,700.0,JMC_data
2705,BiMg100Si49,ThermCond,total,[7.3],[660.0],7.3,660.0,JMC_data
2706,CaLa4Mn5O15,ThermCond,total,[2.3],[295],2.3,295.0,JMC_data
2707,SeSn,ThermCond,total,[0.4],[923.0],0.4,923.0,JMC_data
2708,PbSe,ThermCond,lattice,[1.5],[295],1.5,295.0,JMC_data
