,composition_name,bulk_mod,num_atoms,volume,density,spacegroup,spacegroup_num
1211,Fe5K7S10,36.42199547672426,44,1139.290587654415,2.5464717613031196,C2/c,15
1212,Ca6Hf19O44,187.24961901149874,138,1709.600107453357,8.422653793112126,R-3c,167
1213,Cl1Co2O4P1,102.16606812422248,32,427.88201267411955,3.8543007778688967,C2/c,15
1214,C20H26N4,76.69589073793657,200,2009.3981642514239,1.0658638958930593,P2_1/c,14
1215,Na4O9P2V1,78.94592369535579,128,1685.6524774210552,2.7491642129901908,Pbca,61
1216,H18Cl3Co1N6O3,66.12820674443405,124,1198.6832838196403,1.7481051190297334,P2_1/c,14
1217,B2Ba1O6Zr1,119.9390752554656,20,273.21452338543696,4.207886207795363,R-3c,167
1218,C2H12F5N6Sb1,66.32684250452297,52,569.4809605650377,1.9647729158073732,C2/m,12
1219,Ca1Mg2O12S3,96.18611737992825,36,462.64350933038645,2.7053961702041955,P6_3/m,176
1220,Ag3B5O9,159.9122715660157,68,726.342051822089,4.770354001578002,P2_12_12_1,19
1221,O6P2Pd1,86.95881615339906,18,260.05457046580716,3.376111581622002,Pmna,53
1222,Be1Na1Sb1,41.80729209140271,3,60.70826112435245,4.205815194312393,F-43m,216
1223,Al2Cl8Cr1,30.904948206398565,44,1341.4463310739693,1.9290166753457045,Pca2_1,29
1224,C2H6O10Ti2,104.44278616682821,80,827.2261125127279,2.294788053037147,Cmce,64
1225,H4As1Na1O5,67.97286375573702,22,240.5082197083915,2.512335693291512,P2_1/m,11
1226,I14Re6Te14,21.849985882410053,34,1324.8569705977993,5.866164251051278,P-1,2
1227,F4Ti1,92.88182065593061,10,143.48413292499163,2.866872903290787,P1,1
1228,Fe1K9S7,25.163601702359124,68,2007.4779608303056,2.091713905985021,P2_1/c,14
1229,Mo8Nd1O14,127.41637405905243,46,631.1417395125677,5.976353978071942,Aea2,41
1230,H16Co1O10P2,74.10072476913099,116,1092.7980577425283,1.8052119334370773,I4_1/acd,142
1231,Na2O6Si1U1,106.14405979697565,80,1161.117880273669,4.668948626139993,I4_1/acd,142
1232,Li3Sn4Zn2,45.41942725685332,18,398.4964624894991,5.221106197448604,P6_3/mmc,194
1233,C4H12F2I1N1O2,59.577760548266,44,486.07582018890383,1.8518945158731488,C2/m,12
1234,B324,226.06846888360624,28,195.70046144640182,2.568509323162839,Pnnm,58
1235,B6Na2O11Zn1,117.33496794980564,40,436.51622483000557,2.679952908215428,Cc,9
1236,C6H20Cl6N2Sn1,45.40120435483712,140,1901.9264974006283,1.5773614431840264,Pa-3,205
1237,O9P2Si1V1,109.5618668129519,52,668.4027024390691,2.8318399159669236,P4/ncc,130
1238,La1Re2Si2,150.99267079868946,10,187.47589688299044,10.05291998625657,Imma,74
1239,H2Co1Mo1O7Se1,92.85499241719002,24,284.4763357707557,4.0608650451653645,P-1,2
1240,C1Ba1O3,75.29823584649668,10,173.1642522391652,3.784660713229556,Pnn2,34
1241,Ba6Si46,61.25984411180009,52,1096.1165732533295,3.2054312415834407,Pm-3n,223
1242,H20K2Mg3O24P4,81.8437453273034,106,1036.151893426854,2.176817616182727,P2_1/c,14
1243,Bi6Br2O14Se3,61.388688478303244,50,905.5866341320221,6.874623181132393,P-1,2
1244,Ag18K4Te11,45.659645389038474,66,1719.8945127174984,6.7615520508079205,Fm-3m,225
1245,H6Al2Na2O13Si3,84.38628141559322,52,604.0445297206287,2.1895450131377467,Cc,9
1246,C2H2K2N2O1S2,40.12653679964412,44,831.0656578541988,1.6973858594295426,Pnma,62
1247,Ni1P5Ti2,131.34444751276138,32,462.1825897637178,4.444983010882215,Pnma,62
1248,B1La3N2O3,171.0633132157464,36,523.8301408833477,6.384865111061186,Pnma,62
1249,O4Se8Sm7V1,99.25627333745793,40,900.7939876467683,6.6331276690738274,Pbam,55
1250,B4Li5,64.98601109753892,9,86.62769117735776,1.494179954968429,Cm,8
1251,H12O15S2U1,84.3217998449183,60,643.3160569832377,2.8612554606082843,C2/c,15
1252,K1Mo1O6V1,74.50429307140533,36,552.5283289425996,3.3897447166011867,Pnma,62
1253,C3K3Na1O11U1,68.7368261167967,38,640.6173666785364,3.0604262534050917,P-62c,190
1254,Li3O35P5U7,140.49538829207967,100,1494.2853836833738,5.338209544119962,P-42_1m,113
1255,I2K4O9,45.84786330533047,30,539.0572189368435,3.41435122292716,P6_3/mmc,194
1256,La1N3O6,100.47027677046319,10,137.491745380771,3.3444898696379797,R3m,160
1257,C6Fe1Hg2N2O4S2,45.223670382895826,68,1562.5261414422878,2.912851149264841,I4_1/a,88
1258,Hg2O3Se1,39.95425519998047,24,539.9726643760791,6.4965815606769075,Ibam,72
1259,O8W3,128.65562933619339,11,134.00140409650103,8.420520244220151,Cmmm,65
1260,S8V5,111.16781951868784,13,214.16088831833343,3.963904157926391,C2/m,12
1261,C1H6Br3Cd1N3,48.671155376410866,28,449.87060347137145,3.0429932035883027,C2/c,15
1262,Ce2Cu1K1Se6,54.00806695029996,40,1062.719321821568,5.354106254808505,Fddd,70
1263,H16B4Np1,50.80521395065159,42,480.44120695504904,2.0486822654032526,P4_2/nmc,137
1264,Al1Li1O2,146.85870972319537,48,384.98434116238525,3.412033572192316,P-4m2,115
1265,C12N16,120.10663982549434,28,314.5607125809673,1.9438842012271316,Cmcm,63
1266,Fe2O5Sr3,92.57559126358335,20,293.836797675136,5.137498482680337,Cmmm,65
1267,Ge3S12Sm4,74.4713642802923,38,856.3570692723746,4.669831273430527,R3c,161
1268,F6Mn1Rb2,48.974662955429565,9,165.02605783335855,3.4198087462492284,Fm-3m,225
1269,O6Sr3Te1,90.84635341180459,80,1197.8447239061927,5.394888604682664,P-1,2
1270,H4Fe7K2Na1Nb2O31Si8,107.55086573723185,55,696.9304864822094,3.341927044775775,P-1,2
1271,C4H4Co1N2O10V4,102.89479163342713,50,599.6709307837473,2.784486313974243,Cmcm,63
1272,C11Fe2O11Ru2Te2,75.18756006339369,112,1994.3894393195303,2.9212490494683983,Pccn,56
1273,La2Se9U2,84.75039192353992,26,647.1642963703137,7.515476434646764,Pmma,51
