,composition_name,original_file_name
170,C6H24Cu3N2O16P4,POSCAR_sg2_icsd_185469
171,As1S3Tl3,POSCAR_sg160_icsd_611332
172,As1S3Tl3,POSCAR_sg61_icsd_079580
173,Al1Ca1F14Mg3Na3,POSCAR_sg166_icsd_168054
174,Ba2Ni1Si3,POSCAR_sg189_icsd_280338
175,Br20Mo6Se14Te4,POSCAR_sg2_icsd_417394
176,C3H8Al1Cl2N1,POSCAR_sg2_icsd_380173
177,Ga1Se1,POSCAR_sg187_icsd_635372
178,Ga1Se1,POSCAR_sg174_icsd_660262
179,La1P6Si2,POSCAR_sg36_icsd_082219
180,C2N4Si1,POSCAR_sg224_icsd_093543
181,Cl4N8S8Sn1,POSCAR_sg29_icsd_049540
182,C10H19B9O5S2W1,POSCAR_sg14_icsd_291410
183,Al1B1Ca1O4,POSCAR_sg37_icsd_027647
184,Cs1N5O15Zr1,POSCAR_sg14_icsd_414547
185,H6O10Rb2Se1Te1,POSCAR_sg14_icsd_157371
186,F7I1Xe1,POSCAR_sg87_icsd_026059
187,Ag1As1F6N16O8S16,POSCAR_sg2_icsd_035686
188,Cl24Cu1Ga6Sb7Te8,POSCAR_sg2_icsd_428160
189,Li1Nd1O12P4,POSCAR_sg15_icsd_004253
190,C6H18Br4P2Si1,POSCAR_sg14_icsd_250857
191,H8Cl7K4Np3O10,POSCAR_sg2_icsd_172890
192,C5H1F8N3O2,POSCAR_sg14_icsd_035553
193,In1Li3O3,POSCAR_sg165_icsd_015112
194,Er1Mo4O16Rb5,POSCAR_sg13_icsd_166612
195,La4O7Pd1,POSCAR_sg12_icsd_065032
196,Ba1O9Rb1Sc1Si3,POSCAR_sg14_icsd_166999
197,H6F1Na1O6Te1,POSCAR_sg146_icsd_000042
198,H6F12N2Sb2,POSCAR_sg15_icsd_429156
199,K12Mo12Se56,POSCAR_sg36_icsd_063695
200,C14N1O16Re3,POSCAR_sg14_icsd_026566
201,Hg3Rb2Te4,POSCAR_sg60_icsd_083633
202,H2O8Sr2V2,POSCAR_sg15_icsd_421267
203,B2Be1Na2O5,POSCAR_sg15_icsd_249341
204,H18Na2O12Si1,POSCAR_sg73_icsd_250422
205,Bi20I36Pt3,POSCAR_sg2_icsd_418556
206,Bi1Cl15W6,POSCAR_sg15_icsd_419724
207,Ba1Co2O8P2,POSCAR_sg147_icsd_250709
208,Cl16Nb10O7,POSCAR_sg2_icsd_281663
209,B1O12P3V2,POSCAR_sg176_icsd_413532
210,C36H108As4Si16Sn4,POSCAR_sg150_icsd_262160
211,Ba1Na1Nd1O9Si3,POSCAR_sg19_icsd_020687
212,F16Ni1Xe2,POSCAR_sg61_icsd_071118
213,B6Fe3Yb4,POSCAR_sg166_icsd_614298
214,Al2Ba3F12,POSCAR_sg58_icsd_413546
215,Ca2Co1O3,POSCAR_sg12_icsd_181372
216,Ca2Co1O3,POSCAR_sg8_icsd_095439
217,C12H2Co2O12Ru2,POSCAR_sg14_icsd_035639
218,Cu1Ge1O3,POSCAR_sg14_icsd_096085
219,Cu1Ge1O3,POSCAR_sg55_icsd_056878
220,Cu1Ge1O3,POSCAR_sg26_icsd_016834
221,Cu1Ge1O3,POSCAR_sg64_icsd_056702
222,Cu1Ge1O3,POSCAR_sg51_icsd_411019
223,Cu1Ge1O3,POSCAR_sg18_icsd_084176
224,As3In2K3,POSCAR_sg64_icsd_300199
225,Cl2Pt1,POSCAR_sg166_icsd_098668
226,As2Sn2Sr1,POSCAR_sg160_icsd_611428
227,Co1S4V2,POSCAR_sg12_icsd_624884
228,H10O10S1V1,POSCAR_sg31_icsd_023308
229,H10O10S1V1,POSCAR_sg14_icsd_008103
230,Ta21Te13,POSCAR_sg183_icsd_091811
231,C4H16F12Mg1N2O16S4,POSCAR_sg14_icsd_163021
232,Ge1Li1,POSCAR_sg141_icsd_060843
233,Cl15Hg1S3Se3Zn1,POSCAR_sg158_icsd_422642
234,H7Br6O3Sb1,POSCAR_sg14_icsd_062365
235,C12H45Ge11N3O28,POSCAR_sg19_icsd_174503
236,H62Mo10N5Na7O67P4,POSCAR_sg2_icsd_260725
237,S3Sr2Zn1,POSCAR_sg33_icsd_421354
238,C1H4N2O1,POSCAR_sg129_icsd_151523
239,F3K3N3O9Sb1,POSCAR_sg36_icsd_035677
240,Cs1Mn2O18P6,POSCAR_sg12_icsd_039949
241,Al3N20Nd7O1Si8,POSCAR_sg159_icsd_411426
242,C1H9N7O3,POSCAR_sg57_icsd_008100
243,Br5Nb1,POSCAR_sg55_icsd_035410
