compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
As5Ba2K1,414140,,0.88,0.36,0.55,3,2,1.21,15.63,8.09,15.34,7.86,Zintl
As5K6Sn3,71009,,1.02,2.64,1.02,3,1,1.14,0.53,2.18,3.32,1.95,Zintl
As6Ba3Sn4,411652,,0.47,1.85,0.29,4,2,1.16,1.29,20.43,7.77,11.71,Zintl
As6Ba4Cd3Li2,427778,,0.7,0.4,0.34,2,3,1.4,18.75,24.56,11.75,19.64,Zintl
As6Ca5Ga2,27,,0.57,0.7,0.36,2,2,1.96,9.92,27.22,7.34,10.99,Zintl
As6Ca5Sn2,61037,,0.07,0.62,0.07,2,1,1.78,10.39,289.61,7.63,14.44,Zintl
As6Cs4,409382,,0.9,0.66,0.9,1,1,0.63,2.32,1.46,2.53,2.1,Zintl
As6Cs7In3,411989,,2.82,3.87,2.82,1,1,0.66,0.16,0.25,0.8,0.97,Zintl
As6Ga3Na8Rb1,423946,,0.03,0.53,0.03,3,1,1.45,7.51,691.87,8.8,17.91,Zintl
As6Ge2Na10,300187,,0.02,0.87,0.02,2,1,1.52,3.69,851.7,4.29,18.9,Zintl
As6In4K4,71244,,0.05,0.52,0.05,4,1,1.16,6.82,237.62,13.07,13.53,Zintl
As6K10Sn2,409486,,0.04,3.01,0.04,5,1,1.12,0.36,204.75,4.39,11.06,Zintl
As6K6Na4Sn2,40560,,0.04,1.81,0.04,4,1,1.22,0.94,261.57,5.26,12.48,Zintl
As6Na10Si2,300188,,0.03,2.13,0.03,5,1,1.62,0.97,686.23,5.93,16.36,Zintl
As6Na10Sn2,40559,,0.02,0.67,0.02,2,1,1.45,5.42,1116.12,5.21,21.96,Zintl
As6Rb4,409381,,1.11,0.6,0.44,1,4,0.74,3.04,4.83,2.59,12.49,Zintl
As6Sn2Sr5,262646,,0.05,0.69,0.05,2,1,1.5,8.03,376.02,7.65,17.81,Zintl
As7Cs2Na1,423080,,0.61,1.58,0.61,1,1,0.76,0.61,2.55,1.22,2.16,Zintl
As7Cs3,412598,,1.61,2.01,0.77,6,3,0.66,0.34,1.41,5.69,5.05,Zintl
As7Na3,409658,,1.46,1.69,0.92,6,2,0.99,0.67,1.67,6.53,3.13,Zintl
As7Rb3,412597,,2.62,1.26,1.04,4,4,0.82,0.91,1.22,5.44,6.12,Zintl
As7Rb4Zn7,237457,,6.32,0.65,0.81,3,22,1.22,5.75,4.14,9.55,61.37,Zintl
Ba11Bi10,51797,,2.97,0.74,1.02,3,5,0.86,4.63,2.87,12.38,17.05,Zintl
Ba11Bi14Cd8,240338,,2.16,0.98,0.86,4,4,0.92,3.48,4.29,14.96,16.26,Zintl
Ba11Cd6Sb12,418886,,0.2,0.28,0.2,1,1,1.07,24.05,38.39,7.07,8.52,Zintl
Ba11Sb10,413518,,1.2,0.89,0.57,3,3,1.05,3.93,7.58,10.1,13.13,Zintl
Ba1Bi2Cd1,58635,,2.65,0.52,1.28,10,3,0.81,8.98,2.34,61.65,10.79,Zintl
Ba1Bi2Mg2,100049,,0.02,0.24,0.02,3,1,1.52,32.04,1612.23,17.64,28.19,Zintl
Ba1Bi2Zn1,58638,,3.17,0.23,1.08,10,5,0.81,31.6,3.09,104.46,20.61,Zintl
Ba1Bi3,58634,,7.89,0.89,2.39,23,6,0.8,5.77,1.31,149.88,21.62,Zintl
Ba1Cd1Sb2,52683,,2.16,0.67,0.65,6,6,1.05,7.14,7.41,28.35,28.77,Zintl
Ba1Cd1Sb2Yb1,422280,,1.57,1.42,0.54,10,5,7.04,9.49,40.93,18.53,16.62,Zintl
Ba1Cd2P2,30915,,0.15,0.26,0.15,3,1,3.02,45.76,110.54,13.57,6.44,Zintl
Ba1Cd2Sb2,32021,,1.56,0.31,0.62,4,4,1.67,24.23,8.66,20.26,13.43,Zintl
Ba1Ga2P2,380479,,4.05,1.11,1.23,3,6,1.98,4.42,3.8,7.33,13.79,Zintl
Ba1Ge2P2,26416,,0.6,0.14,0.38,1,2,1.88,102.79,24.37,9.59,10.79,Zintl
Ba1In2P2,260564,,0.17,0.54,0.17,1,1,1.06,6.41,36.33,3.45,6.91,Zintl
Ba1Li1P1,416890,,0.72,0.33,0.29,3,4,1.6,25.06,30.84,17.22,24.95,Zintl
Ba1Li1Sb1,280574,,0.65,0.23,0.31,3,3,1.1,32.8,20.32,23.64,19.52,Zintl
Ba1Mg2P2,30914,,0.73,0.59,0.35,3,3,4.95,13.7,29.89,5.13,7.01,Zintl
Ba1Mg2Sb2,100047,,0.69,0.31,0.33,3,3,2.35,24.67,22.92,11.13,10.81,Zintl
Ba1Na1P1,402227,,0.17,0.3,0.17,1,1,1.81,24.04,57.73,4.52,6.41,Zintl
Ba1P10,35295,,4.39,1.3,2.11,2,3,1.4,1.68,0.81,3.03,3.4,Zintl
Ba1P2,429732,,0.35,0.99,0.35,1,1,1.51,3.99,19.25,2.61,4.89,Zintl
Ba1P2Zn2,12145,,1.04,0.3,0.36,3,5,2.75,39.91,30.99,14.75,22.21,Zintl
Ba1P3,426771,,0.62,0.54,0.39,4,2,2.21,12.54,20.18,13.02,7.87,Zintl
Ba1P8,96544,,1.07,0.82,0.52,3,3,1.99,5.65,11.28,7.09,9.36,Zintl
Ba1Sb2,409517,,1.94,0.53,0.77,14,4,1.24,10.61,6.02,67.45,15.36,Zintl
Ba1Sb2Zn2,32020,,0.9,0.24,0.36,5,4,1.31,38.6,21.67,41.42,26.3,Zintl
Ba1Sb3,49000,,2.31,0.77,0.79,10,5,1.02,4.83,4.66,37.5,18.48,Zintl
Ba2Bi1,2141,,4.48,0.53,2.16,19,3,0.77,6.69,0.82,93.44,6.36,Zintl
Ba2Bi2Zn1,421424,,0.8,0.24,0.8,3,1,0.9,28.63,4.71,26.42,4.28,Zintl
Ba2Bi4Cd3,416446,,5.28,0.47,1.22,12,9,0.94,12.68,2.99,81.81,34.44,Zintl
Ba2Cd2K1Sb3,420620,,0.18,0.3,0.11,2,2,1.15,22.16,97.31,13.15,23.76,Zintl
