compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Ba1O3Ti1,161341,38,3.29,4.137,1.104,3,1,11.57,0.7,5.09,0.81,0.59,Non-Zintl
Ba1O3Ti1,55221,20,2.02,1.187,0.382,2,1,3.39,12.61,68.95,1.95,1.92,Non-Zintl
Ba1O3Ti1,100799,99,1.98,0.863,0.516,9,3,4.14,18.47,39.92,6.58,2.98,Non-Zintl
Ba1O3Ti1,27971,221,1.97,1.117,0.698,9,3,4.82,16.17,32.73,5.01,2.21,Non-Zintl
Ba1O3Zr1,97462,221,3.42,1.02,0.36,13,3,4.29,16.77,79.89,7.66,3.3,Non-Zintl
Ba1O4Y2,78483,62,3.43,2.294,0.379,3,1,3.72,3.72,55.43,2.01,1.97,Non-Zintl
Ba1O5Ti2,281548,5,2.07,2.153,0.924,3,1,3.91,4.23,15.04,1.95,1.08,Non-Zintl
Ba1O5Ti2,153286,12,2.07,2.19,0.934,3,1,3.79,4.13,14.82,1.93,1.07,Non-Zintl
Ba1O5Ti2,157775,12,2.07,2.184,0.935,3,1,3.61,4.14,14.79,1.93,1.07,Non-Zintl
Ba1O7Si2Zn2,88589,36,3.33,3.592,0.115,1,1,7.64,1.44,252.16,0.49,3.87,Non-Zintl
Ba1O9Si3Sn1,10385,188,3.74,5.678,0.213,1,1,4.74,0.93,128.05,0.35,2.48,Non-Zintl
Ba1O9Si3Ti1,36185,188,3.38,5.222,6.504,1,4,6.77,1.07,0.77,0.34,1.2,Non-Zintl
Ba1O9Si4,80067,188,4.35,4.762,0.219,1,1,5.9,1.52,153.35,0.35,2.21,Non-Zintl
Ba1O9Ti4,31783,59,3.01,2.005,2.835,14,2,7.19,5.47,3.25,8.8,1.02,Non-Zintl
Ba1P10,35295,36,1.3,2.004,2.096,1,3,1.41,0.88,0.82,0.84,2.45,Non-Zintl
Ba1P3,23618,12,0.56,0.534,0.393,4,2,2.54,12.7,20.1,4.93,2.96,Non-Zintl
Ba1P8,96544,2,0.85,0.826,0.51,3,3,1.86,5.56,11.47,3.58,4.78,Non-Zintl
Ba1Pd1S2,202009,63,0.79,3.255,0.39,2,1,1.64,0.76,18.29,0.98,1.75,Non-Zintl
Ba1Pd1S2,63588,63,0.79,3.255,0.39,2,1,1.64,0.76,18.29,0.98,1.75,Non-Zintl
Ba1Pd2S4,79930,11,1.03,1.829,0.769,4,1,1.83,2.09,7.66,3.2,1.35,Non-Zintl
Ba1Pt2S3,201146,92,1.3,1.092,1.537,1,3,2.36,6.47,3.88,1.3,3.18,Non-Zintl
Ba1Rb1S4Ta1,421845,62,2.649,0.838,2.072,2,4,1.36,0.32,0.87,0.127,3.93,Non-Zintl
Ba1S1,616053,225,2.15,1.072,0.345,3,3,4.67,4.47,24.44,1.56,3.08,Non-Zintl
Ba1S2,42134,15,1.58,1.071,0.848,9,2,1.82,3.7,5.26,6.86,1.75,Non-Zintl
Ba1S2Sn1,2587,14,1.59,0.262,0.529,5,1,1.23,19.06,6.65,15.31,2.01,Non-Zintl
Ba1S3,23637,113,1.37,1.176,0.398,2,3,2.13,3.04,15.43,1.69,4.86,Non-Zintl
Ba1S3,26765,18,1.03,2.763,0.418,2,1,1.8,0.71,12.09,1.24,1.93,Non-Zintl
Ba1S3Sn1,616071,62,0.87,1.155,0.624,4,3,3.56,4.39,11.06,4.31,4.67,Non-Zintl
Ba1S3Ti1,14175,194,0.02,0.456,0.573,2,2,1.67,17.04,12.11,2.91,2.54,Non-Zintl
Ba1S3Ti1,18201,186,0.02,0.456,0.573,2,2,1.75,17.04,12.11,2.91,2.54,Non-Zintl
Ba1S3V1,8194,194,0.47,1.18,5.775,5,3,1.7,4.33,0.4,4.21,0.98,Non-Zintl
Ba1S3V1,616099,36,0.44,1.088,5.414,5,3,1.64,4.48,0.4,4.58,1.05,Non-Zintl
Ba1S3V1,154184,8,1.24,1.684,10.03,2.5,0.5,1.32,1.44,0.1,2.43,0.17,Non-Zintl
Ba1S3V1,8193,194,0.47,1.19,5.812,5,3,1.79,4.27,0.4,4.19,0.97,Non-Zintl
Ba1S3V1,154183,8,0.42,1.715,3.812,2,5,1.69,2.26,0.68,1.7,2.64,Non-Zintl
Ba1S3V1,15537,194,0.47,1.203,5.751,5,3,1.69,4.2,0.4,4.17,0.98,Non-Zintl
Ba1S3V1,616098,194,0.47,1.199,5.777,5,3,1.69,4.22,0.4,4.17,0.98,Non-Zintl
Ba1S3V1,52692,36,0.46,1.161,5.601,5,3,1.63,4.06,0.38,4.41,1.03,Non-Zintl
Ba1S3V1,23194,194,0.47,1.193,5.749,5,3,1.7,4.26,0.4,4.19,0.98,Non-Zintl
Ba1S3V1,63229,36,0.46,1.151,5.581,5,3,1.65,4.17,0.39,4.4,1.03,Non-Zintl
Ba1S3V1,62711,194,0.47,1.199,5.777,5,3,1.69,4.22,0.4,4.17,0.98,Non-Zintl
Ba1S3V1,154182,36,0.56,0.414,2.504,1,0.5,0.83,5.86,0.39,2.42,0.41,Non-Zintl
Ba1S3Zr1,23288,62,1.38,1.748,0.201,3,2,3.25,3.57,91.75,2,4.89,Non-Zintl
Ba1S4Y2,616101,62,1.99,0.705,0.331,2,1,2.5,11.52,35.7,2.66,2.09,Non-Zintl
Ba1Sc2Te4,416326,62,0.69,0.474,0.382,1,1,1.52,14.79,20.48,2.13,2.43,Non-Zintl
Ba1Se1,52695,221,1.21,0.151,0.338,9,2,1.73,79.98,23.84,18.18,2.49,Non-Zintl
Ba1Se1,616122,225,1.95,0.799,0.34,3,3,3.17,5.98,21.57,2.07,3.46,Non-Zintl
Ba1Se2,16358,15,0.64,0.656,0.263,8,2,1.32,6.62,25.97,9.63,4.16,Non-Zintl
Ba1Se3,16359,113,0.93,1.898,0.274,2,2,1.44,1.32,24.07,1.52,4.87,Non-Zintl
Ba1Se4Y2,616134,62,1.61,0.834,0.326,1,1,1.84,7.58,30.97,1.4,2.46,Non-Zintl
Ba1Si2,94260,62,0.8,0.312,0.604,4,2,1.43,20.84,7.72,9.97,3.35,Non-Zintl
Ba1Si2,2218,212,0.03,0.116,2.169,6,2,2.15,158.44,1.97,19.62,1.13,Non-Zintl
Ba1Te1,29152,225,1.59,0.588,0.326,3,3,2.19,7.56,18.31,2.66,3.8,Non-Zintl
Ba1Te1,108097,221,0.79,0.102,0.31,9,2,1.26,116.39,22.03,24.21,2.77,Non-Zintl
Ba1Te2,80280,140,0.38,0.169,0.348,3,6,1.27,48.89,16.53,8.52,11.04,Non-Zintl
Ba1Te4Y2,90335,62,1.05,0.582,0.315,1,1,1.38,10.07,25.21,1.9,2.74,Non-Zintl
Ba2Bi1Ga1S5,261677,62,2.33,3.139,0.377,4,6,1.3,0.23,14.51,0.842,17.567,Non-Zintl
Ba2Bi1In1S5,261678,36,1.444,0.515,0.142,6,1,1.69,4.52,84.4,2.753,4.008,Non-Zintl
Ba2Bi2Zn1,421424,72,0.08,0.234,0.774,3,1,0.9,29.47,4.9,9.05,1.47,Non-Zintl
Ba2Cd1S3,66654,62,2.09,1.233,0.137,2,1,1.74,3.6,97.26,2.2,4.12,Non-Zintl
Ba2Cd1Se3,66653,62,1.57,1.031,0.086,2,1,1.31,3.91,163.1,2.76,6.14,Non-Zintl
Ba2Cd1Te3,88849,62,1.4,0.753,0.137,2,1,1.05,4.96,64.01,3.56,4.95,Non-Zintl
Ba2Co1S3,160294,62,1.29,2.913,2.613,1,2,1.75,1.04,1.22,0.64,1.36,Non-Zintl
Ba2Cu3S6V1,83969,15,0.98,0.955,4.275,7,2,1.69,4.03,0.43,10.17,1.18,Non-Zintl
Ba2Ga1Se5Y1,262882,2,1.84,0.842,0.333,1,1,1.3,4.51,18.12,1.49,2.6,Non-Zintl
Ba2Ge1P2,35150,14,0.58,0.67,0.559,2,2,1.48,7.66,10.06,3.12,3.48,Non-Zintl
Ba2Ge1S4,25365,62,2.29,1.238,0.577,2,3,1.42,2.36,7.44,2.49,5.92,Non-Zintl
Ba2Ge2Mg1O7,419312,113,3.59,5.442,0.138,4,1,3.97,0.69,170.35,1.63,3.69,Non-Zintl
Ba2Ge2O8Ti1,281271,35,3.72,4.414,0.304,4,1,2.8,0.84,46.22,1.99,2.48,Non-Zintl
Ba2Hf1S4,80652,139,1.16,0.465,0.399,7,1,2.67,21.43,26.96,8.63,1.35,Non-Zintl
Ba2Hg1S3,32647,62,1.36,1.641,0.131,2,1,1.48,2.25,100.29,2.04,4.66,Non-Zintl
Ba2In1Se5Y1,262888,36,1.15,0.844,0.085,3,1,1.34,4.62,143.75,4.49,5.92,Non-Zintl
Ba2In2O5,73937,46,0.93,1.168,0.063,1,1,8.07,8.5,678.87,0.99,5.69,Non-Zintl
Ba2Mg1O7Si2,183983,15,4.44,4.405,0.122,2,1,3.26,0.95,206.44,0.9,3.88,Non-Zintl
Ba2Mg1O7Si2,81117,113,4.48,4.881,0.161,4,1,3.67,0.91,152.87,1.6,3.09,Non-Zintl
Ba2Mn1S3,26231,62,2.04,3.235,0.333,2,1,1.76,0.84,25.43,1.19,2.33,Non-Zintl
Ba2Mn1Se3,26230,62,1.88,2.42,0.328,2,1,1.4,1.12,22.41,1.59,2.65,Non-Zintl
Ba2N2Zn1,80377,139,0.48,0.909,0.585,2,2,14.05,7.01,13.58,1.73,2.25,Non-Zintl
Ba2N8Si5,401501,31,2.89,1.917,0.961,3,2,6.14,7.13,20.07,1.88,1.9,Non-Zintl
Ba2O3Zn1,36659,15,2.68,2.261,0.125,5,1,2.86,2.42,186.38,3.94,4.47,Non-Zintl
Ba2O4Pb1,62036,139,1.23,0.862,0.218,20,1,18.25,12.57,98.72,19.4,2.21,Non-Zintl
Ba2O4Si1,6246,62,4.63,3.298,0.165,3,1,2.52,1.35,120.15,1.91,3.83,Non-Zintl
Ba2O4Sn1,27115,139,2.45,1.054,0.131,13,1,8.03,10.54,241.28,10.26,2.76,Non-Zintl
Ba2O4Ti1,15450,14,4.07,4.817,0.456,1,1,2.5,0.69,23.73,0.5,2.05,Non-Zintl
Ba2O4Zr1,39707,139,3.4,1.967,0.635,7,1,35.8,4.53,24.7,3.43,0.96,Non-Zintl
Ba2O7Si2Zn1,409588,15,3.98,1.262,0.114,5,1,2.82,6.26,230.27,4.94,4.18,Non-Zintl
Ba2O8Si2Ti1,34453,100,4.14,5.199,6.481,3,1,2.9,0.75,0.54,1.25,0.37,Non-Zintl
Ba2S3,70058,109,1.6,0.965,1.536,6,4,1.55,3.98,1.98,6.21,3.13,Non-Zintl
Ba2S3Zn1,653999,62,2.02,1.132,0.42,2,1,1.76,4.16,18.42,2.28,2.07,Non-Zintl
Ba2S4Si1,616062,62,3,1.507,0.666,3,1,1.49,1.91,6.51,3.16,1.72,Non-Zintl
Ba2S4Sn1,42036,14,1.93,3.345,0.209,2,1,1.2,0.39,24.78,1.53,4.04,Non-Zintl
Ba2S4Ti1,616084,62,2.07,0.632,0.569,2,1,1.57,6.73,7.88,3.55,1.89,Non-Zintl
Ba2S4Zr1,69853,139,0.87,0.461,0.423,7,1,6.45,21.14,24.05,7.98,1.2,Non-Zintl
Ba2Sb2Zn1,421425,72,0.3,0.381,1.047,3,1,1.11,15.99,3.52,5.83,1.06,Non-Zintl
Ba2Se4Si1,49750,11,2.29,1.966,0.458,1,1,1.17,0.98,8.68,0.89,2.12,Non-Zintl
Ba2Si1,41755,62,0.03,0.304,0.254,2,2,1.31,16.48,21.56,4.74,5.28,Non-Zintl
Ba2Si1Te4,49751,11,1.31,1.193,1.058,1,1,1.25,2.21,2.64,1.15,1.23,Non-Zintl
Ba2Si4,409973,62,0.8,0.309,0.633,4,2,1.43,21.16,7.2,10.03,3.26,Non-Zintl
Ba3Fe1S5,280,62,0.57,2.581,2.478,3,3,1.64,1.11,1.18,2.35,2.4,Non-Zintl
Ba3Ga2Ge4O14,250124,150,2.24,4.197,0.107,3,1,4.7,1.33,329.1,1.41,4.25,Non-Zintl
Ba3Ga2S6,201421,15,2.68,1.748,0.728,1,1,1.55,1.58,5.89,0.92,1.55,Non-Zintl
Ba3Ge1O1,50512,62,0.39,0.831,0.621,5,1,1.63,5.69,8.8,7.23,1.72,Non-Zintl
Ba3In2O6,39267,139,0.86,0.5,0.106,8,1,10.41,29.59,303.42,11.45,3.63,Non-Zintl
Ba3In2P4,402812,15,1.13,0.482,0.304,1,1,1.74,13.85,27.59,1.79,2.36,Non-Zintl
Ba3Na1Nb1O6,72330,167,3.23,3.396,0.98,5,3,2.44,1.55,10.04,2.73,3.45,Non-Zintl
Ba3O5Si1,1449,140,3.52,3.294,2.791,2,1,2.41,1.46,1.87,1.11,0.61,Non-Zintl
Ba3O8V2,418460,166,3.69,3.323,5.12,2,1,3.73,1.31,0.69,0.99,0.38,Non-Zintl
Ba3O9Y4,87118,146,3.24,7.913,0.248,2,1,3.81,0.52,93.66,0.54,2.15,Non-Zintl
Ba3P4,38322,43,0.48,0.848,0.648,1,1,1.46,5.18,7.75,1.19,1.4,Non-Zintl
Ba3P6Si4,29261,11,0.39,0.303,0.397,1,1,2.38,33.44,22.31,2.3,1.96,Non-Zintl
Ba3S5Ti1,203087,140,1.38,0.714,1.842,1,1,1.65,7.4,1.79,1.37,0.78,Non-Zintl
Ba3S7Zr2,75241,139,0.79,0.506,0.197,7,2,2.63,19.54,80.51,8.78,4.42,Non-Zintl
Ba3S7Zr2,69854,66,1.2,1.382,0.348,5,2,2.15,4.16,32.99,4.3,3.94,Non-Zintl
Ba3S8Ta2,202878,10,0.857,0.843,0.315,1,1,1.44,4.33,24.48,1.237,3.196,Non-Zintl
Ba4Ga2S7,201420,11,2.63,1.26,0.178,2,2,1.46,2.25,42.41,2.45,7.95,Non-Zintl
Ba4In2S8,261680,2,1.94,1.01,1.095,7,2,1.42,3.56,3.16,9.65,2.63,Non-Zintl
Ba4O6Pt1,65706,167,1.99,1.079,4.211,1,3,2.14,7.95,1.03,1.26,1.67,Non-Zintl
Ba4S10Zr3,72656,69,0.76,1.533,0.213,3,2,2.21,3.71,71.59,2.16,4.7,Non-Zintl
Ba5Hf4S13,71936,69,1,1.075,0.193,5,2,2,6.99,91.82,5.22,5.85,Non-Zintl
Ba5Sb4,280022,64,0.29,0.591,3.191,1,3,1.1,7.24,0.58,1.79,1.96,Non-Zintl
Ba6Cu3Na1Te14,83671,193,0.74,1.175,0.099,4,3,1.12,2.89,117.8,6.64,21.94,Non-Zintl
Ba6Fe8S15,16309,87,0.95,7.307,4.714,1,2,1.86,0.22,0.43,0.41,1.06,Non-Zintl
Ba6Ga2P6,402177,64,0.62,0.47,0.572,8,1,1.97,21.18,15.77,13.79,1.53,Non-Zintl
Ba6Hf5S16,71935,69,0.98,0.898,0.178,6,2,1.99,9.35,106.11,7.39,6.51,Non-Zintl
Ba6O18W4,9725,167,3.47,3.621,4.296,1,3,1.78,1.05,0.81,0.74,2,Non-Zintl
Ba6P6Sn2,35342,14,0.81,0.386,1.122,4,2,1.55,17.08,3.44,9.62,2.54,Non-Zintl
BAs,184568,216,1.21,0.145,0.183,3,6,91.78,286.12,202.82,4.3,7.5,Non-Zintl
BBi,184569,216,0.2,0.171,0.011,3,1,16.33,121.08,7399.37,6.05,10.44,Non-Zintl
BCuSe2,613591,122,1.74,0.339,0.186,1,1,12.41,51.05,125.62,1.6,2.3,Non-Zintl
Be1Ga1La3S7,616274,173,1.196,0.828,2.597,3,2,2.21,2,1.35,0.63,1.349,Non-Zintl
Be1In1La3S7,616297,173,1.686,1.366,3.127,3,2,1.89,1.86,0.95,1.387,1.253,Non-Zintl
Be1La3S7Sb1,616308,173,1.612,1.075,5.834,4,1,1.62,4.24,0.3,5.902,0.459,Non-Zintl
Be1La3S7Sc1,616309,173,1.394,0.786,1.611,3,2,2.12,1.96,2.72,0.567,1.747,Non-Zintl
Be1S1,44724,216,3.148,0.742,0.161,3,3,109.63,2.14,172.15,0.069,3.228,Non-Zintl
BeCN2,44111,122,3.86,0.352,0.079,1,1,150.57,180.04,1693.37,0.89,2.17,Non-Zintl
BeO,62732,186,7.45,1.186,0.189,3,1,148.35,19.18,301.36,1.15,1.16,Non-Zintl
BeSe,183374,216,2.67,0.611,0.18,3,3,39.04,18.88,118.25,2.02,4.21,Non-Zintl
BeSiAs2,237067,122,1.07,0.365,0.352,3,3,12.59,41.67,44.08,3.93,4.02,Non-Zintl
BeSiN2,44112,122,3.57,1.691,0.037,3,3,90.38,12.13,3671.61,1.09,10.76,Non-Zintl
BeSiP2,237066,122,1.2,0.45,0.223,3,3,30.36,37.23,106.48,2.58,3.93,Non-Zintl
BeSiSb2,237068,122,0.44,0.267,0.241,3,2,7.03,49.98,58.28,5.4,3.83,Non-Zintl
BeTe,53945,216,2.02,0.432,0.286,3,3,20.46,23.91,44.33,2.85,3.65,Non-Zintl
Bi1Ca1K1,409664,129,0.9,1.637,0.05,8,1,2.66,0.97,184.02,6.05,6.17,Non-Zintl
Bi1Ca2,42136,139,0.01,0.818,0.743,6,2,1.11,5.1,5.9,6.21,2.19,Non-Zintl
Bi1Cs1Ge1S4,281168,14,1.962,2.3,0.614,6,2,0.79,0.48,2.82,8.991,4.937,Non-Zintl
Bi1Cs1S2,72975,14,1.546,1.757,0.464,5,1,0.75,1.57,4.96,19,2.589,Non-Zintl
Bi1Cs1S4Si1,281169,14,2.456,3.232,0.422,5,5,0.84,0.13,5.2,1.744,14.795,Non-Zintl
Bi1Ge1K1S4,421486,14,1.931,2.439,0.538,5,2,0.82,0.43,3.05,7.955,5.192,Non-Zintl
Bi1Ge1Rb1S4,281167,14,1.938,2.494,0.524,5,2,0.84,0.49,3.63,8.272,5.303,Non-Zintl
Bi1K1Mg1,616748,129,0.47,1.414,0.017,2,1,0.82,1.38,1092.02,1.75,12.62,Non-Zintl
Bi1K1S4Si1,421485,14,2.033,3.178,0.371,4,2,1.02,0.6,7.56,8.594,5.899,Non-Zintl
Bi1K3,26885,194,0.09,5.137,0.021,6,1,0.88,0.11,439.28,2.5,11.45,Non-Zintl
Bi1K3,409223,185,0.07,2.881,0.019,14,1,0.77,0.25,473.54,11,16.03,Non-Zintl
Bi1K3,58793,225,0.2,5.281,0.018,3,1,0.64,0.12,567.37,1.08,10.77,Non-Zintl
Bi1La1,616768,225,0.02,0.369,0.174,3,3,3.07,24.02,74.38,3.66,5.76,Non-Zintl
Bi1Rb1S2,52735,166,1.347,4.166,0.178,4,1,2.38,4.99,66.38,26.031,2.154,Non-Zintl
Bi1Rb1S4Si1,281166,14,2.049,3.178,0.38,4,2,0.97,0.62,7.46,8.811,5.959,Non-Zintl
Bi1S2Tl1,172572,166,0.443,0.11,0.06,1,1,1.65,4.87,328.03,0.034,5.05,Non-Zintl
Bi2Ca1Mg2,100048,164,0.48,0.341,0.015,1,1,1.77,21.1,2353.37,1.74,11.47,Non-Zintl
Bi2Cd1Cs2S5,97427,62,1.747,1.862,0.319,8,2,1.09,0.98,15.39,8.535,7.136,Non-Zintl
Bi2Cs2S5Zn1,97426,62,1.739,1.659,0.404,8,3,1.21,0.62,12.58,2.921,8.865,Non-Zintl
Bi2Ga2In4S12,410032,11,1.803,3.444,0.23,2,2,1.96,1.28,32.86,4.195,6.799,Non-Zintl
Bi2Ga4S8,408441,126,2.544,0.556,1.748,16,6,1.28,0.15,0.93,0.263,7.325,Non-Zintl
Bi2Hg1S4,14189,12,1.218,0.484,0.131,2,1,1.2,2.39,50.65,1.153,5.81,Non-Zintl
Bi2In4S9,2839,11,1.663,1.457,0.345,4,2,0.91,0.6,8.36,3.265,7.538,Non-Zintl
Bi2Pb1S4,31859,62,1.05,0.262,0.373,3,2,1.08,1.15,14.23,0.174,6.726,Non-Zintl
Bi2Pb3S6,246065,63,0.699,0.665,0.125,1,2,1.38,1.63,104.5,0.195,10.765,Non-Zintl
Bi2Pb3S6,92981,12,0.579,0.706,0.165,1,1,1.4,4.33,64.28,0.944,4.681,Non-Zintl
Bi2S3,617021,62,1.382,1.897,0.21,2,2,1,0.72,21.09,2.379,9.957,Non-Zintl
Bi2S5Tl4,8003,62,0.968,0.324,0.099,4,2,0.87,0.89,81.01,0.403,18.747,Non-Zintl
Bi3Cs1S5,200794,62,1.426,2.226,0.468,4,2,1,0.93,8.18,5.923,6.032,Non-Zintl
Bi3In5S12,23315,12,1.356,1.561,0.762,4,2,1.59,1.52,6.46,3.131,4.052,Non-Zintl
Bi3K1S5,79200,62,1.275,0.914,0.514,5,2,0.92,0.68,5.21,1.874,5.481,Non-Zintl
BN,183257,186,5.3,0.509,0.298,2,2,403.12,122.76,274.09,1.1,1.51,Non-Zintl
BP,184570,216,1.26,0.169,0.219,3,6,274.91,295.27,200.17,2.79,4.78,Non-Zintl
BSb,184571,216,0.75,0.162,0.225,3,6,71.49,218.92,133.42,4.22,6.92,Non-Zintl
C,66464,227,4.13,0.138,0.151,3,6,1079.91,1009.54,890.65,2.73,5.2,Non-Zintl
Ca1Cd2P2,100063,164,0.83,0.521,0.046,2,1,3.82,18.08,684.12,2.2,4.7,Non-Zintl
Ca1Cd2Sb2,12151,164,0.03,0.477,0.056,2,2,1.97,13.77,340.71,2.86,10.3,Non-Zintl
Ca1Ga1La1O4,96463,33,3.41,1.305,0.145,6,1,5.99,8.25,221.85,5.35,3.33,Non-Zintl
Ca1Ga2O4,41662,62,3,4.785,0.054,4,1,6.05,1.86,1558.66,1.61,5.96,Non-Zintl
Ca1Ga2P2,422525,194,0.18,0.067,0.161,1,3,5.06,437.25,117.97,3.95,7.02,Non-Zintl
Ca1Ga2S4,619292,66,2.61,0.95,0.328,2,3,2.67,4.77,23.45,2.05,5.8,Non-Zintl
Ca1Ga4O7,10351,15,2.54,4.825,0.111,1,1,13.18,1.13,321.89,0.39,3.74,Non-Zintl
Ca1Ge1Mg1O4,80455,62,3.61,3.098,0.11,3,1,5.66,2.02,302.55,1.54,3.8,Non-Zintl
Ca1Ge1O3,31338,62,2.06,0.657,0.224,12,1,10.22,36.86,185.29,13.65,2.17,Non-Zintl
Ca1Ge1O5Zr1,154327,2,3.67,2.988,0.167,4,1,11.32,1.83,138.28,2.02,2.85,Non-Zintl
Ca1Ge2O5,14005,2,2.41,3.853,0.077,2,1,16.92,1.66,585.09,0.84,4.41,Non-Zintl
Ca1Ge2O5,151577,2,2.4,3.519,0.076,2,1,16.13,1.9,595.03,0.89,4.43,Non-Zintl
Ca1Ge2O5,14006,15,2.4,3.472,0.076,2,1,19.63,2.08,643.94,0.87,4.31,Non-Zintl
Ca1Ge2O5,200614,1,2.41,3.84,0.075,2,1,10.88,1.67,611.82,0.85,4.49,Non-Zintl
Ca1Ge2O5,151585,15,2.42,3.477,0.076,2,1,8.97,2.08,641.98,0.87,4.31,Non-Zintl
Ca1Hg1O2,80717,166,2.08,1.58,0.434,2,1,9.93,3.58,24.84,1.28,1.39,Non-Zintl
Ca1In2O4,52390,141,2.03,5.782,0.08,3,1,20.82,1.03,635.26,0.91,3.99,Non-Zintl
Ca1In2P2,260562,194,0.46,0.159,0.084,1,4,3.15,101.41,266.57,2.62,15.45,Non-Zintl
Ca1Mg1O4Si1,202286,62,4.66,3.475,0.133,4,1,7.32,1.82,241.3,1.71,3.03,Non-Zintl
Ca1Mg1O6Si2,9672,15,4.95,6.452,0.118,1,1,9.5,0.66,266.76,0.29,3.2,Non-Zintl
Ca1Mg2N2,79123,164,2.05,0.859,0.043,3,1,14.59,15.35,1354.77,1.7,3.4,Non-Zintl
Ca1Mg2Sb2,100045,164,0.78,0.252,0.259,1,3,2.93,37.69,36.23,1.67,4.92,Non-Zintl
Ca1Mo6S8,619422,2,0.11,0.32,2.488,1,1.5,1.42,18.59,0.86,2.81,1.23,Non-Zintl
Ca1Mo6S8,62388,148,0.12,0.33,2.491,1,1.5,2.02,22.64,1.09,2.54,1.13,Non-Zintl
Ca1Mo6S8,619421,148,0.11,0.348,2.413,1,1.5,2.44,25.24,1.38,2.3,1.08,Non-Zintl
Ca1N6,35227,70,3.19,3.904,0.734,4,1,5.96,0.63,7.78,1.51,1.03,Non-Zintl
Ca1N6,412259,70,3.19,3.962,0.73,4,1,5.06,0.61,7.77,1.51,1.04,Non-Zintl
Ca1O1,261847,227,3.61,1.199,0.265,3,3,8.47,9.57,91.92,1.67,4.14,Non-Zintl
Ca1O1,161831,186,3.13,1.013,0.179,1,1,19.33,9.98,133.99,0.48,1.36,Non-Zintl
Ca1O1,60704,225,3.64,1.351,0.35,3,3,25.98,8.07,61.31,1.01,2.27,Non-Zintl
Ca1O2,619462,139,2.58,3.193,1.991,3,2,12.44,0.72,1.46,1.15,1.02,Non-Zintl
Ca1O2,20275,139,2.58,3.209,2.01,3,2,12.37,0.71,1.44,1.15,1.01,Non-Zintl
Ca1O3Pb1,87825,62,0.96,5.649,0.22,2,1,4.57,0.81,105.15,0.89,3.11,Non-Zintl
Ca1O3Si1,240442,139,3.54,0.474,0.058,9,1,6.27,79.01,1826.98,10.48,4.09,Non-Zintl
Ca1O3Si1,240437,127,3.61,1.123,0.09,3,1,19.98,21.71,949.99,1.68,2.54,Non-Zintl
Ca1O3Si1,240417,140,3.68,1.129,0.096,4,1,20.03,21.47,869.7,2.23,2.45,Non-Zintl
Ca1O3Si1,33702,2,4.83,5.947,0.173,2,1,9.2,0.74,148.26,0.63,2.62,Non-Zintl
Ca1O3Si1,240462,62,3.73,0.8,0.115,3,1,8.27,35.86,656.43,2.55,2.72,Non-Zintl
Ca1O3Si1,240410,221,3.47,0.825,0.084,7,1,9.54,34.76,1063.56,3.78,2.12,Non-Zintl
Ca1O3Si1,87694,15,4.7,2.399,0.192,5,1,10.49,2.47,109.16,2.87,2.62,Non-Zintl
Ca1O3Si1,240423,74,3.72,1.263,0.104,2,1,23.81,18.11,767.6,1.05,2.34,Non-Zintl
Ca1O3Si1,240449,204,3.58,0.559,0.059,9,1,6.27,61.66,1783.01,9.49,4.05,Non-Zintl
Ca1O3Sn1,29149,225,1.44,1.11,0.039,9,1,5.32,15.27,2302.54,4.87,4.02,Non-Zintl
Ca1O3Sn1,29204,148,2.92,7.55,0.114,4,1,30.25,0.68,366.49,0.92,2.86,Non-Zintl
Ca1O3Sn1,151593,62,2.36,8.125,0.136,2,1,13.61,0.74,340.49,0.53,3.1,Non-Zintl
Ca1O3Ti1,180956,62,2.7,4.162,0.577,4,3,22.03,2.37,46,1.29,3.17,Non-Zintl
Ca1O3Ti1,31864,65,2.19,1.016,0.611,9,3,8.6,20.02,42.88,4.27,1.93,Non-Zintl
Ca1O3Ti1,162923,140,2.62,1.312,1.137,12,4,6.21,13.15,16.3,6.29,2.28,Non-Zintl
Ca1O3Ti1,153174,221,2.19,1.017,0.611,9,3,7.65,20,42.86,4.27,1.93,Non-Zintl
Ca1O3Ti1,162924,221,2.19,1.017,0.605,9,3,7.66,20.02,43.61,4.27,1.94,Non-Zintl
Ca1O3Ti1,71915,62,2.7,4.093,0.555,4,3,23.01,2.43,48.74,1.31,3.25,Non-Zintl
Ca1O3Zr1,29003,221,3.48,1.019,0.086,13,4,6.21,17.51,717.83,6.37,8.66,Non-Zintl
Ca1O3Zr1,167889,62,4.28,1.367,0.868,2,1,16.03,10.77,21.29,1.38,0.91,Non-Zintl
Ca1O4Sc2,16886,62,3.74,1.576,0.668,2,1,7.01,8.29,30.05,1.35,1.13,Non-Zintl
Ca1O4Ti2,51183,63,0.2,1.95,1.953,4,4,13.52,7.34,7.33,1.92,1.92,Non-Zintl
Ca1O5Si1Sn1,96819,2,3.2,6.762,0.127,1,1,11.84,0.67,258.13,0.3,3.2,Non-Zintl
Ca1O5Si1Sn1,89081,15,3.24,6.979,0.119,1,1,12.73,0.66,296.97,0.28,3.27,Non-Zintl
