,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
898,Bi2S3,ThermCond,total,thermal conductivity,[0.8],[295],0.8,295.0
899,Bi2S3,ThermCond,lattice,lattice thermal conductivity,[0.86],[295],0.86,295.0
900,Cl3Sb,ThermCond,lattice,lattice thermal conductivity,[0.67],[295],0.67,295.0
901,SnTe,ThermCond,total,thermal conductivity,[8.0],[300.0],8.0,300.0
902,PbTe,ThermCond,total,thermal conductivity,[3.0],[300.0],3.0,300.0
903,SnTe,ThermCond,total,κ,[1.29],[800.0],1.29,800.0
904,SnTe,ThermCond,lattice,κph,[2.24],[300.0],2.24,300.0
905,Bi4Mn7Sn89Te100,ThermCond,lattice,κph,[1.17],[300.0],1.17,300.0
906,Bi3Mn7Sn90Te100,ThermCond,lattice,κph,[0.67],[850.0],0.67,850.0
907,Cu4SSe,ThermCond,lattice,κL,"[0.3, 0.4]",[295],0.35000000000000003,295.0
908,SnTe,ThermCond,total,thermal conductivity,[8.6],[295],8.6,295.0
909,Cd3Sn25Te25,ThermCond,total,thermal conductivity,[3.1],[295],3.1,295.0
910,Cd3Sn25Te25,ThermCond,total,thermal conductivity,[1.9],[600.0],1.9,600.0
911,Bi3CsPb3Te8,ThermCond,total,thermal conductivity,[1.5],[295],1.5,295.0
912,Bi2Te3,ThermCond,total,thermal conductivity,[1.8],[295],1.8,295.0
913,Co5Sb4Se6,ThermCond,total,thermal conductivity,[1.0],[300.0],1.0,300.0
914,Sb,ThermCond,total,thermal conductivity,[0.5],[657.0],0.5,657.0
915,Co20Sb15Se24Zn,ThermCond,total,thermal conductivity,[0.6],[295],0.6000000000000001,295.0
917,SbZn,ThermCond,total,thermal conductivity,[0.9],[300.0],0.9,300.0
918,SbZn,ThermCond,total,κtotal,"[1.4, 1.8]",[300.0],1.6,300.0
919,BST,ThermCond,total,thermal conductivity,[0.31],[295],0.31,295.0
920,FeSbV,ThermCond,lattice,lattice thermal conductivity,[10.0],[300.0],10.0,300.0
921,Fe5Nb2Sb5V3,ThermCond,total,thermal conductivity,[5.5],[300.0],5.5,300.0
923,Cu97Fe100Mn3S200,ThermCond,total,κ,[2.2],[623.0],2.2,623.0
924,Mn,ThermCond,total,κ,[1.7],[623.0],1.7000000000000002,623.0
925,Cu19Fe20MnS40,ThermCond,total,thermal conductivity,[1.0],[673.0],1.0,673.0
926,SeSn,ThermCond,lattice,κL,[1.8],[300.0],1.8,300.0
927,PbSe,ThermCond,lattice,κL,[0.7],[750.0],0.7000000000000001,750.0
929,BiSbTe,ThermCond,total,thermal conductivity,[1.3],[350.0],1.3,350.0
930,OZn,ThermCond,total,thermal conductivity,[100.0],[295],100.0,295.0
932,SeSn,ThermCond,lattice,lattice thermal conductivity,[1.2],[300.0],1.2,300.0
933,PbSe,ThermCond,total,thermal conductivity,[4.54],[300.0],4.54,300.0
934,CdSe,ThermCond,total,thermal conductivity,[2.08],[300.0],2.08,300.0
935,PbSe,ThermCond,lattice,lattice thermal conductivity,[2.6],[295],2.6,295.0
936,CdSe,ThermCond,lattice,lattice thermal conductivity,[1.47],[295],1.47,295.0
937,BiSbTe,ThermCond,total,κ,[1.04],[300.0],1.04,300.0
938,BiSbTe,ThermCond,total,κ,[1.25],[300.0],1.25,300.0
939,In2S3,ThermCond,total,thermal conductivity,[0.7],[700.0],0.7000000000000001,700.0
940,SeSn,ThermCond,lattice,lattice thermal conductivity,[1.0],[295],1.0,295.0
941,SeSn,ThermCond,lattice,lattice thermal conductivities,[1.25],[300.0],1.25,300.0
942,Bi100Te137,ThermCond,total,κ,[0.5],[370.0],0.5,370.0
943,Bi100Te143,ThermCond,electronic,κe,[0.48],[420.0],0.48,420.0
944,MnSb11Yb14,ThermCond,lattice,κL,[0.6],[300.0],0.6000000000000001,300.0
945,PbTe,ThermCond,total,minimum thermal conductivity,[0.621],[450.0],0.621,450.0
946,PbTe,ThermCond,lattice,lattice thermal conductivity,[0.75],[300.0],0.75,300.0
947,Lu2O7Zr2,ThermCond,total,thermal conductivity,[2.6],[295],2.6,295.0
949,PbSnTe2,ThermCond,total,thermal conductivity,[1.0],"[473.0, 623.0]",1.0,548.0
950,S2Ti,ThermCond,electronic,electronic thermal conductivity,[4.2],[300.0],4.2,300.0
951,CaFeO3,ThermCond,total,Thermal conductivity,[4.6],[300.0],4.6,300.0
952,Ca2Fe2O5,ThermCond,total,thermal conductivity,[2.8],[360.0],2.8,360.0
953,Ca2Fe2O5,ThermCond,total,thermal conductivity,[3.0],[300.0],3.0,300.0
954,Ca2Fe2O5,ThermCond,total,thermal conductivity,"[4.0, 2.0]","[400.0, 1050.0]",3.0,725.0
955,Ba4Cu3Si20,ThermCond,lattice,lattice thermal conductivities,[1.0],[295],1.0,295.0
957,Bi99Ca50Mg95Zn5,ThermCond,lattice,κL,[1.95],[300.0],1.95,300.0
958,Bi198Ca65Mg190Yb35Zn10,ThermCond,lattice,κL,[1.05],[300.0],1.05,300.0
959,BiITe,ThermCond,total,thermal conductivity,[1.3],[295],1.3,295.0
960,Bi2Te3,ThermCond,total,κ,[12.0],[300.0],12.0,300.0
962,Bi2S3,ThermCond,total,thermal conductivity,[1.0],[295],1.0,295.0
963,GeTe,ThermCond,lattice,lattice thermal conductivity,[2.6],[295],2.6,295.0
966,Ba3Co30Fe10Ge2In2Sb118,ThermCond,lattice,lattice thermal conductivity,[1.0],[700.0],1.0,700.0
967,S2Ti,ThermCond,total,κ,[2.08],[573.0],2.08,573.0
968,MoS2,ThermCond,total,κ,[0.82],[323.0],0.8200000000000001,323.0
969,Hf30Ni103Sn100Zr70,ThermCond,total,thermal conductivity,[2.4],[773.0],2.4,773.0
970,Hf125Ni500SbSn499Ti250Zr125,ThermCond,total,κ,[3.0],[700.0],3.0,700.0
971,Hf3Ni11Sn10Zr7,ThermCond,total,thermal conductivity,[2.1],[773.0],2.1,773.0
972,Hf30Ni103Sn100Zr70,ThermCond,total,thermal conductivity,[2.4],[773.0],2.4,773.0
973,DEOPT,ThermCond,total,thermal conductivities,[0.031],[295],0.031,295.0
974,O2Ti,ThermCond,total,κ,[5.75],[295],5.75,295.0
975,Ce4Fe37Nd4Ni3Sb120,ThermCond,total,thermal conductivity,[2.1],[295],2.1,295.0
976,Ce4Fe37Nd4Ni3Sb120,ThermCond,lattice,lattice thermal conductivity,[1.05],[295],1.05,295.0
977,Ce4Fe37Nd4Ni3Sb120,ThermCond,total,thermal conductivity,[2.1],[295],2.1,295.0
978,H,ThermCond,lattice,phonon thermal conductivity,[0.91],[1073.0],0.91,1073.0
979,O3SrTi,ThermCond,total,thermal conductivity,[10.0],[1000.0],10.0,1000.0
981,BiSb3Te6,ThermCond,lattice,lattice thermal conductivity,[0.8],[295],0.8,295.0
982,Co10La3O20,ThermCond,total,κtotal,[1.0],[295],1.0,295.0
983,Co2O4Zn,ThermCond,total,thermal conductivity,[2.42],[308.0],2.42,308.0
984,GdTe2Tl,ThermCond,total,thermal conductivity,[0.5],[295],0.5,295.0
985,Fe,ThermCond,total,thermal conductivity,[2.0],[295],2.0,295.0
986,Ca7Ce7Co10Fe70Nd7Sb240,ThermCond,lattice,lattice thermal conductivity,[1.0],[295],1.0,295.0
987,Ca7Ce7Co10Fe70Nd7Sb240,ThermCond,total,thermal conductivity,[2.0],[295],2.0,295.0
988,Sb2SnTe4,ThermCond,lattice,lattice thermal conductivity,[0.56],[320.0],0.56,320.0
989,SeSn,ThermCond,total,bulk thermal conductivity,[1.5],"[300.0, 600.0]",1.5,450.0
990,SeSn,ThermCond,lattice,lattice thermal conductivity,[0.25],[923.0],0.25,923.0
991,BiSb3Te6,ThermCond,total,thermal conductivity,[1.0],[373.0],1.0,373.0
992,Ag2Te,ThermCond,total,thermal conductivities,"[0.37, 0.93]","[523.0, 773.0]",0.65,648.0
993,Sb2YbZn2,ThermCond,lattice,κphonon,[0.42],[773.0],0.42,773.0
