,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
15995,SeSn,Conductivity,,resistivity,[27.027027027027025],[300.0],27.027027027,300.0
15996,Bi2Te3,Conductivity,,resistivity,[100000.00000000001],[295],100000.0,295.0
15997,Mn4Si7,Conductivity,,ρ,"[20.0, 10.0]",[903.0],15.0,903.0
15998,Mn17Si30,Conductivity,,Resistivity,[0.030303030303030304],[180.0],0.0303030303,180.0
15999,NiTe,Conductivity,,resistivity,"[2000000.0, 1666666.6666666667]","[273.0, 573.0]",1833333.333333333,423.0
16000,Co8Sb23Te,Conductivity,,resistivity,[33.333333333333336],[301.0],33.3333333333,301.0
16001,NbS15Ta4,Conductivity,,resistivity,[99999.99999999999],[295],100000.0,295.0
16002,O2Ti,Conductivity,,resistivity,[66666.66666666667],[523.0],66666.6666666667,523.0
16003,Ba40Mn30O107Y10,Conductivity,,resistivity,[0.9345794392523364],[303.0],0.9345794393000001,303.0
16004,FeSe,Conductivity,,resistivity,[0.00125],"[473.0, 673.0]",0.00125,573.0
16005,FeSe,Conductivity,,resistivity,[0.9615384615384615],[295],0.9615384615000001,295.0
16006,OZn,Conductivity,,minimal resistivity,[3333.3333333333335],[748.0],3333.3333333333003,748.0
16007,AlCuO2,Conductivity,,resistivity,[6.666666666666667],[1173.0],6.666666666699999,1173.0
16008,Al2O3,Conductivity,,resistivity,[0.2],[295],0.2,295.0
16010,AlPb200Te200,Conductivity,,resistivity,[175438.5964912281],[295],175438.59649122812,295.0
16011,AlPb100Te100,Conductivity,,resistivity,[526315.7894736843],[295],526315.7894736843,295.0
16012,Ba5Co80PbSb230Te10,Conductivity,,resistivity,[49751.243781094534],[320.0],49751.243781094505,320.0
16014,LaPb3,Conductivity,,resistivity,[2777777.777777778],[300.0],2777777.777777778,300.0
16016,LiNbO3,Conductivity,,resistivity,[0.0979431929480901],[300.0],0.09794319289999999,300.0
16017,HfNi2Sn2Zr,Conductivity,,resistivity,[70921.98581560285],[295],70921.9858156028,295.0
16018,BiErPd,Conductivity,,resistivity,[99999.99999999999],[160.0],100000.0,160.0
16019,BiErPd2,Conductivity,,resistivity,[714285.7142857143],[300.0],714285.7142857143,300.0
16022,CoGeTe,Conductivity,,resistivity,[10000.0],[300.0],10000.0,300.0
16024,O2Ru,Conductivity,,resistivity,[1428571.4285714286],[295],1428571.428571429,295.0
16025,CdS,Conductivity,,resistivity,[6.329113924050633e-05],[295],6.329110000000001e-05,295.0
16027,CMo2Tx,Conductivity,,resistivity,[277.77777777777777],[295],277.7777777778,295.0
16028,CTxV2,Conductivity,,resistivity,[38461.538461538454],[295],38461.538461538395,295.0
16029,CTxV2,Conductivity,,resistivity,[38461.538461538454],[295],38461.538461538395,295.0
16030,CST,Conductivity,,resistivity,[114416.47597254005],[295],114416.4759725401,295.0
16031,NiTi,Conductivity,,resistivity,[1123595.5056179774],[295],1123595.5056179771,295.0
16032,Ni513Ti487,Conductivity,,resistivity,[847457.6271186441],[295],847457.6271186441,295.0
16033,Ni129Ti121,Conductivity,,resistivity,[1052631.5789473683],[295],1052631.578947368,295.0
16034,Mn3Sn,Conductivity,,resistivity,[277777.77777777775],[295],277777.7777777778,295.0
16035,Ca3Co4O9,Conductivity,,ρ,[12500.000000000002],[318.0],12500.0,318.0
16036,BiCa29Co40O90,Conductivity,,ρ,[25000.000000000004],[318.0],25000.0,318.0
16037,Ba7Bi10Ca290Co400O900,Conductivity,,ρ,[35714.28571428572],[318.0],35714.285714285696,318.0
16038,Co2NaO4,Conductivity,,resistivity,[3333.333333333333],"[300.0, 973.0]",3333.3333333333003,636.5
16039,Bi19O40PbPd10,Conductivity,,resistivity,[1000.0],[700.0],1000.0,700.0
16040,MgSe,Conductivity,,resistivity,[0.1],[373.0],0.1,373.0
